time,x,y,z
5.837,0.01,0.21,1.28
5.847,-0.02,0.19,1.30
5.869,-0.02,0.24,1.27
5.869,0.05,0.32,1.24
5.880,0.07,0.37,1.02
5.914,0.03,0.38,0.96
5.916,0.08,0.37,0.91
5.917,0.08,0.38,0.95
5.917,0.07,0.48,1.02
5.926,0.10,0.56,1.12
5.937,0.14,0.56,1.14
5.948,0.16,0.47,1.10
5.961,0.06,0.44,1.00
6.002,-0.04,0.52,0.93
6.003,-0.07,0.55,0.90
6.003,-0.08,0.56,0.84
6.004,-0.07,0.55,0.84
6.006,-0.08,0.53,0.84
6.023,-0.10,0.49,0.83
6.027,-0.14,0.48,0.78
6.043,-0.14,0.45,0.74
6.048,-0.10,0.44,0.79
6.067,-0.10,0.46,0.90
6.068,-0.02,0.45,0.95
6.076,-0.01,0.43,0.98
6.111,-0.02,0.38,1.00
6.112,-0.01,0.35,1.00
6.113,-0.00,0.34,0.99
6.131,0.02,0.34,0.94
6.131,-0.03,0.38,0.93
6.136,-0.04,0.47,0.94
6.147,-0.06,0.55,0.94
6.158,-0.04,0.58,0.91
6.183,-0.09,0.51,0.88
6.184,-0.12,0.44,0.84
6.194,-0.16,0.36,0.80
6.197,-0.18,0.32,0.80
6.217,-0.17,0.34,0.88
6.218,-0.13,0.38,0.99
6.226,-0.08,0.38,1.06
6.236,-0.09,0.38,1.06
6.246,-0.09,0.38,1.03
6.266,-0.08,0.35,1.00
6.267,-0.06,0.38,1.00
6.276,-0.04,0.37,1.00
6.298,-0.01,0.36,1.02
6.299,-0.01,0.39,1.07
6.306,0.01,0.41,1.07
6.316,0.01,0.45,1.02
6.326,-0.00,0.47,0.96
6.357,-0.06,0.51,0.91
6.357,-0.07,0.50,0.87
6.358,-0.06,0.46,0.86
6.380,-0.06,0.44,0.86
6.381,-0.06,0.46,0.91
6.386,-0.06,0.50,0.95
6.396,-0.05,0.48,0.94
6.406,-0.08,0.44,0.94
6.417,-0.08,0.42,0.90
6.426,-0.07,0.38,0.93
6.447,-0.06,0.35,0.99
6.448,-0.06,0.34,1.03
6.459,-0.02,0.32,1.04
6.479,-0.04,0.34,0.97
6.481,-0.04,0.37,0.94
6.501,-0.03,0.34,0.96
6.501,0.01,0.37,1.01
6.506,0.02,0.43,0.97
6.518,0.00,0.47,0.94
6.526,-0.02,0.42,0.89
6.536,-0.07,0.36,0.84
6.548,-0.11,0.34,0.74
6.570,-0.17,0.37,0.81
6.571,-0.16,0.42,0.85
6.576,-0.11,0.45,0.83
6.607,-0.10,0.44,0.75
6.608,-0.12,0.42,0.63
6.608,-0.16,0.40,0.56
6.622,-0.17,0.42,0.62
6.627,-0.15,0.46,0.73
6.644,-0.10,0.54,0.94
6.650,-0.08,0.58,0.97
6.691,-0.13,0.58,0.93
6.691,-0.12,0.56,0.94
6.692,-0.14,0.50,0.98
6.692,-0.09,0.45,1.13
6.697,0.02,0.40,1.22
6.711,0.01,0.34,1.20
6.731,-0.03,0.33,1.16
6.732,-0.02,0.30,1.08
6.736,-0.00,0.28,1.01
6.747,0.00,0.30,1.00
6.756,-0.00,0.40,0.98
6.791,-0.00,0.47,0.99
6.792,0.01,0.40,0.92
6.792,0.00,0.33,0.89
6.802,-0.06,0.27,0.91
6.816,-0.08,0.20,1.01
6.817,-0.06,0.13,1.12
6.826,-0.06,0.10,1.17
6.836,-0.02,0.10,1.24
6.847,-0.00,0.08,1.32
6.864,-0.00,0.06,1.39
6.873,0.02,0.06,1.40
6.876,-0.02,0.06,1.37
6.908,-0.03,0.06,1.30
6.909,-0.02,0.05,1.22
6.909,-0.02,0.06,1.18
6.920,-0.00,0.06,1.17
6.926,-0.02,0.08,1.18
6.936,-0.05,0.10,1.21
6.948,-0.04,0.06,1.21
6.962,-0.05,-0.01,1.18
6.998,-0.05,0.01,1.14
6.998,-0.04,0.03,1.16
6.999,-0.04,0.03,1.15
6.999,-0.01,0.03,1.12
7.006,-0.02,0.08,1.07
7.017,0.00,0.09,1.01
7.026,0.00,0.09,1.00
7.036,0.01,0.05,0.96
7.046,0.02,0.03,0.98
7.059,0.00,0.04,0.96
7.097,0.00,0.08,0.95
7.098,0.02,0.08,1.00
7.099,0.02,0.10,1.05
7.099,0.02,0.10,1.07
7.106,0.01,0.12,1.06
7.117,0.02,0.14,1.06
7.126,0.03,0.14,1.05
7.136,0.00,0.14,1.08
7.146,-0.02,0.11,1.14
7.160,-0.08,0.11,1.18
7.198,-0.05,0.08,1.24
7.199,-0.02,0.06,1.19
7.200,-0.02,0.09,1.14
7.200,-0.01,0.16,1.16
7.206,0.00,0.21,1.15
7.218,-0.00,0.18,1.10
7.226,-0.00,0.17,1.09
7.237,-0.00,0.16,1.08
7.247,-0.00,0.14,1.06
7.269,0.02,0.14,1.05
7.270,0.02,0.15,1.04
7.303,0.03,0.16,1.02
7.304,0.02,0.15,1.01
7.305,0.04,0.13,1.02
7.306,0.01,0.14,1.01
7.320,-0.00,0.15,0.98
7.326,-0.00,0.16,0.97
7.337,-0.01,0.19,0.95
7.347,-0.02,0.20,0.95
7.366,-0.04,0.19,0.99
7.367,-0.04,0.16,1.02
7.376,-0.02,0.14,1.09
7.406,-0.02,0.14,1.14
7.407,-0.00,0.17,1.17
7.407,-0.01,0.17,1.12
7.417,-0.02,0.15,1.08
7.426,-0.02,0.12,1.04
7.437,-0.02,0.12,1.01
7.448,-0.02,0.14,0.99
7.461,0.01,0.16,0.99
7.496,0.03,0.18,1.00
7.498,0.02,0.18,0.98
7.499,0.00,0.16,0.94
7.499,0.01,0.15,0.95
7.507,0.01,0.16,0.98
7.521,0.02,0.19,1.01
7.526,0.02,0.18,1.00
7.537,0.01,0.17,1.00
7.548,-0.00,0.18,0.98
7.576,0.01,0.20,0.99
7.577,0.02,0.20,1.00
7.578,0.01,0.22,1.01
7.604,0.02,0.22,1.01
7.605,0.02,0.18,1.02
7.606,0.04,0.16,1.02
7.617,0.03,0.14,1.07
7.628,0.03,0.15,1.09
7.648,0.05,0.16,1.11
7.649,0.06,0.16,1.09
7.662,0.05,0.18,1.04
7.684,0.03,0.19,1.01
7.685,0.04,0.20,0.97
7.686,0.05,0.21,0.96
7.697,0.05,0.24,0.96
7.707,0.04,0.25,0.96
7.720,0.04,0.24,0.94
7.726,0.03,0.22,0.92
7.736,0.03,0.23,0.93
7.746,0.04,0.24,0.97
7.773,0.04,0.22,1.01
7.774,0.04,0.20,1.02
7.776,0.04,0.20,1.04
7.804,0.04,0.20,1.05
7.805,0.04,0.17,1.07
7.806,0.04,0.15,1.08
7.822,0.04,0.18,1.09
7.826,0.04,0.17,1.07
7.837,0.05,0.17,1.04
7.847,0.05,0.18,1.02
7.862,0.06,0.20,1.01
7.902,0.03,0.22,1.01
7.903,0.03,0.23,1.00
7.903,0.04,0.23,0.97
7.904,0.02,0.22,0.96
7.907,0.02,0.22,0.95
7.920,0.01,0.20,0.95
7.926,-0.00,0.19,0.99
7.937,-0.00,0.18,1.02
7.948,0.00,0.18,1.06
7.961,-0.00,0.17,1.08
8.003,-0.00,0.14,1.09
8.004,0.01,0.11,1.14
8.004,0.00,0.09,1.13
8.004,0.01,0.08,1.12
8.006,0.00,0.08,1.09
8.017,0.02,0.10,1.07
8.026,0.02,0.13,1.04
8.037,0.03,0.17,1.02
8.046,0.04,0.18,0.98
8.060,0.03,0.17,0.99
8.095,0.02,0.19,0.98
8.096,0.00,0.20,0.96
8.097,0.02,0.21,1.02
8.097,0.03,0.22,0.96
8.107,0.02,0.21,1.00
8.121,-0.00,0.21,1.05
8.126,-0.00,0.18,1.03
8.136,-0.00,0.20,1.06
8.148,-0.00,0.18,1.06
8.175,-0.00,0.14,1.08
8.176,-0.01,0.14,1.09
8.176,0.01,0.14,1.08
8.203,0.00,0.15,1.11
8.204,0.01,0.16,1.08
8.207,-0.00,0.17,1.09
8.217,-0.00,0.17,1.10
8.226,0.01,0.18,1.09
8.237,-0.00,0.18,1.10
8.248,0.00,0.18,1.08
8.264,0.00,0.20,1.06
8.276,0.00,0.23,1.02
8.307,0.00,0.21,1.02
8.308,0.00,0.22,1.01
8.308,-0.00,0.23,1.01
8.309,0.01,0.22,1.02
8.321,0.00,0.21,1.00
8.326,-0.00,0.18,1.03
8.336,0.01,0.16,1.03
8.346,-0.00,0.15,1.05
8.375,-0.00,0.16,1.04
8.377,-0.00,0.16,1.04
8.377,0.02,0.16,1.04
8.401,0.01,0.16,1.04
8.402,0.00,0.16,1.04
8.406,0.01,0.17,1.05
8.421,0.02,0.16,1.03
8.426,0.01,0.15,1.00
8.437,-0.00,0.17,1.00
8.447,-0.01,0.17,1.00
8.481,-0.00,0.18,1.02
8.482,0.00,0.19,1.02
